Year,Year ending,Local Government Area,OTH Sex,OTH Counter
2022,June,Warrnambool,Males,491
2022,June,Wellington,Females,340
2022,June,Wellington,Males,877
2022,June,West Wimmera,Females,8
2022,June,West Wimmera,Males,38
2022,June,Whitehorse,Females,367
2022,June,Whitehorse,Males,1003
2022,June,Whittlesea,Females,683
2022,June,Whittlesea,Males,2266
2022,June,Wodonga,Females,237
2022,June,Wodonga,Males,676
2022,June,Wyndham,Females,938
2022,June,Wyndham,Males,3091
2022,June,Yarra,Females,314
2022,June,Yarra,Males,811
2022,June,Yarra Ranges,Females,473
2022,June,Yarra Ranges,Males,1489
2022,June,Yarriambiack,Females,24
2022,June,Yarriambiack,Males,73
2021,June,Alpine,Females,31
2021,June,Alpine,Males,123
2021,June,Ararat,Females,80
2021,June,Ararat,Males,250
2021,June,Ballarat,Females,624
2021,June,Ballarat,Males,1738
2021,June,Banyule,Females,363
2021,June,Banyule,Males,996
2021,June,Bass Coast,Females,258
2021,June,Bass Coast,Males,709
2021,June,Baw Baw,Females,261
2021,June,Baw Baw,Males,765
2021,June,Bayside,Females,187
2021,June,Bayside,Males,564
2021,June,Benalla,Females,101
2021,June,Benalla,Males,287
2021,June,Boroondara,Females,300
2021,June,Boroondara,Males,691
2021,June,Brimbank,Females,599
2021,June,Brimbank,Males,2385
2021,June,Buloke,Females,14
2021,June,Buloke,Males,58
2021,June,Campaspe,Females,176
2021,June,Campaspe,Males,605
2021,June,Cardinia,Females,381
2021,June,Cardinia,Males,1167
2021,June,Casey,Females,1387
2021,June,Casey,Males,4094
2021,June,Central Goldfields,Females,88
2021,June,Central Goldfields,Males,232
2021,June,Colac-Otway,Females,84
2021,June,Colac-Otway,Males,333
2021,June,Corangamite,Females,36
2021,June,Corangamite,Males,111
2021,June,Darebin,Females,463
2021,June,Darebin,Males,1404
2021,June,East Gippsland,Females,427
2021,June,East Gippsland,Males,1138
2021,June,Frankston,Females,702
2021,June,Frankston,Males,2016
2021,June,Gannawarra,Females,53
2021,June,Gannawarra,Males,137
2021,June,Glen Eira,Females,285
2021,June,Glen Eira,Males,801
2021,June,Glenelg,Females,116
2021,June,Glenelg,Males,311
2021,June,Golden Plains,Females,33
2021,June,Golden Plains,Males,155
2021,June,Greater Bendigo,Females,613
2021,June,Greater Bendigo,Males,1913
2021,June,Greater Dandenong,Females,674
2021,June,Greater Dandenong,Males,2112
2021,June,Greater Geelong,Females,1159
2021,June,Greater Geelong,Males,3152
2021,June,Greater Shepparton,Females,322
2021,June,Greater Shepparton,Males,1300
2021,June,Hepburn,Females,40
2021,June,Hepburn,Males,127
2021,June,Hindmarsh,Females,27
2021,June,Hindmarsh,Males,83
2021,June,Hobsons Bay,Females,294
2021,June,Hobsons Bay,Males,789
2021,June,Horsham,Females,150
2021,June,Horsham,Males,392
2021,June,Hume,Females,1000
2021,June,Hume,Males,3171
2021,June,Indigo,Females,45
2021,June,Indigo,Males,113
2021,June,Kingston,Females,429
2021,June,Kingston,Males,1260
2021,June,Knox,Females,540
2021,June,Knox,Males,1401
2021,June,Latrobe,Females,715
2021,June,Latrobe,Males,1806
2021,June,Loddon,Females,42
2021,June,Loddon,Males,95
2021,June,Macedon Ranges,Females,86
2021,June,Macedon Ranges,Males,358
2021,June,Manningham,Females,243
2021,June,Manningham,Males,667
2021,June,Mansfield,Females,23
2021,June,Mansfield,Males,99
2021,June,Maribyrnong,Females,235
2021,June,Maribyrnong,Males,728
2021,June,Maroondah,Females,353
2021,June,Maroondah,Males,1050
2021,June,Melbourne,Females,495
2021,June,Melbourne,Males,1639
2021,June,Melton,Females,745
2021,June,Melton,Males,2341
2021,June,Merri-bek,Females,475
2021,June,Merri-bek,Males,1464
2021,June,Mildura,Females,438
2021,June,Mildura,Males,1195
2021,June,Mitchell,Females,296
2021,June,Mitchell,Males,927
2021,June,Moira,Females,98
2021,June,Moira,Males,397
2021,June,Monash,Females,450
2021,June,Monash,Males,1348
2021,June,Moonee Valley,Females,287
2021,June,Moonee Valley,Males,946
2021,June,Moorabool,Females,132
2021,June,Moorabool,Males,376
2021,June,Mornington Peninsula,Females,488
2021,June,Mornington Peninsula,Males,1668
2021,June,Mount Alexander,Females,44
2021,June,Mount Alexander,Males,157
2021,June,Moyne,Females,48
2021,June,Moyne,Males,143
2021,June,Murrindindi,Females,37
2021,June,Murrindindi,Males,170
2021,June,Nillumbik,Females,140
2021,June,Nillumbik,Males,365
2021,June,Northern Grampians,Females,60
2021,June,Northern Grampians,Males,237
2021,June,Port Phillip,Females,341
2021,June,Port Phillip,Males,1048
2021,June,Pyrenees,Females,30
2021,June,Pyrenees,Males,82
2021,June,Queenscliffe,Females,5
2021,June,Queenscliffe,Males,10
2021,June,South Gippsland,Females,144
2021,June,South Gippsland,Males,388
2021,June,Southern Grampians,Females,78
2021,June,Southern Grampians,Males,228
2021,June,Stonnington,Females,258
2021,June,Stonnington,Males,749
2021,June,Strathbogie,Females,41
2021,June,Strathbogie,Males,142
2021,June,Surf Coast,Females,73
2021,June,Surf Coast,Males,221
2021,June,Swan Hill,Females,224
2021,June,Swan Hill,Males,454
2021,June,Towong,Females,15
2021,June,Towong,Males,50
2021,June,Wangaratta,Females,190
2021,June,Wangaratta,Males,444
2021,June,Warrnambool,Females,158
2021,June,Warrnambool,Males,480
2021,June,Wellington,Females,387
2021,June,Wellington,Males,955
2021,June,West Wimmera,Females,10
2021,June,West Wimmera,Males,32
2021,June,Whitehorse,Females,417
2021,June,Whitehorse,Males,1042
2021,June,Whittlesea,Females,767
2021,June,Whittlesea,Males,2532
2021,June,Wodonga,Females,197
2021,June,Wodonga,Males,571
2021,June,Wyndham,Females,884
2021,June,Wyndham,Males,3084
2021,June,Yarra,Females,351
2021,June,Yarra,Males,804
2021,June,Yarra Ranges,Females,364
2021,June,Yarra Ranges,Males,1360
2021,June,Yarriambiack,Females,31
2021,June,Yarriambiack,Males,74
